articleId,productCode,departmentNo,prodName,productTypeName,graphicalAppearanceNo,graphicalAppearanceName,colourGroupCode,colourGroupName
108775015,108775,1676,Strap top,Vest top,1010016,Solid,9,Black
108775044,108775,1676,Strap top,Vest top,1010016,Solid,10,White
110065001,110065,1339,OP T-shirt (Idro),Bra,1010016,Solid,9,Black
111565001,111565,3608,20 den 1p Stockings,Underwear Tights,1010016,Solid,9,Black
111586001,111586,3608,Shape Up 30 den 1p Tights,Leggings/Tights,1010016,Solid,9,Black
111593001,111593,3608,Support 40 den 1p Tights,Underwear Tights,1010016,Solid,9,Black
111609001,111609,3608,200 den 1p Tights,Underwear Tights,1010016,Solid,9,Black
118458004,118458,5883,Jerry jogger bottoms,Trousers,1010010,Melange,7,Grey
118458029,118458,5883,Jerry jogger bottoms,Trousers,1010010,Melange,8,Dark Grey
120129001,120129,2032,Babette long,Leggings/Tights,1010016,Solid,9,Black
120129014,120129,2032,Babette long,Leggings/Tights,1010010,Melange,9,Black
123173001,123173,3608,Control Top 50 den 1p Tights,Leggings/Tights,1010016,Solid,9,Black
129085001,129085,1676,Pirate Leggings (1),Leggings/Tights,1010016,Solid,9,Black
129085026,129085,1676,Pirate Leggings (1),Leggings/Tights,1010016,Solid,10,White
129085027,129085,1676,Pirate Leggings (1),Leggings/Tights,1010010,Melange,7,Grey
130035001,130035,3419,Black Umbrella,Umbrella,1010016,Solid,9,Black
146706001,146706,6515,Tanktop body white 3PACK,Bodysuit,1010016,Solid,10,White
146721002,146721,4342,Hair Ring,Hair string,1010016,Solid,3,Silver
148033001,148033,3608,Nouvelle 1p Stay Up,Leggings/Tights,1010016,Solid,9,Black
153115019,153115,1339,OP Strapless^,Bra,1010016,Solid,9,Black
153115020,153115,1339,OP Strapless^,Bra,1010016,Solid,12,Light Beige
153115039,153115,1339,OP Strapless^,Bra,1010016,Solid,53,Dark Pink
156227001,156227,3608,Box 4p Kneehighs,Underwear Tights,1010016,Solid,9,Black
156231001,156231,3608,Box 4p Tights,Underwear Tights,1010016,Solid,9,Black
158340001,158340,3608,Highwaist 30 den 1p Tights,Leggings/Tights,1010016,Solid,9,Black
160442007,160442,3611,3p Sneaker Socks,Socks,1010016,Solid,9,Black
160442010,160442,3611,3p Sneaker Socks,Socks,1010016,Solid,10,White
160442043,160442,3611,3p Sneaker Socks,Socks,1010010,Melange,6,Light Grey
176209040,176209,5283,Mr Harrington w/hood,Hoodie,1010016,Solid,73,Dark Blue
179123001,179123,1676,Long Leggings,Leggings/Tights,1010016,Solid,9,Black
179208001,179208,3608,Control Top 100 den 1p Tights,Leggings/Tights,1010016,Solid,9,Black
179950001,179950,3509,Austin basic leather hip belt,Belt,1010016,Solid,9,Black
179950017,179950,3509,Austin basic leather hip belt,Belt,1010016,Solid,9,Black
181448022,181448,3937,Jenny 5-pack,Socks,1010016,Solid,9,Black
181448103,181448,3937,Jenny 5-pack,Socks,1010017,Stripe,50,Other Pink
181448109,181448,3937,Jenny 5-pack,Socks,1010006,Dot,22,Yellow
182909001,182909,3608,Fleece 1 p tights,Leggings/Tights,1010016,Solid,9,Black
186262001,186262,4343,4p Claw,Hair clip,1010016,Solid,9,Black
186262006,186262,4343,4p Claw,Hair clip,1010016,Solid,15,Greyish Beige
186266004,186266,4343,10p Basic Terry,Hair string,1010016,Solid,9,Black
186267001,186267,4343,12p Claw,Hair clip,1010016,Solid,9,Black
186372011,186372,1676,Harem trousers,Trousers,1010016,Solid,9,Black
186372045,186372,1676,Harem trousers,Trousers,1010001,All over pattern,73,Dark Blue
188183001,188183,4242,Spanx alot shape Swimsuit,Swimsuit,1010016,Solid,9,Black
188183015,188183,4242,Spanx alot Swimsuit,Swimsuit,1010016,Solid,93,Dark Green
188183016,188183,4242,Spanx alot Swimsuit,Swimsuit,1010017,Stripe,9,Black
188183021,188183,4242,Spanx alot Swimsuit,Swimsuit,1010016,Solid,42,Red
188183022,188183,4242,Spanx alot Swimsuit,Swimsuit,1010001,All over pattern,12,Light Beige
189616001,189616,1643,Tina leggings,Leggings/Tights,1010016,Solid,9,Black
189616006,189616,1643,Heavy jsy long leg,Leggings/Tights,1010020,Contrast,9,Black
189616007,189616,1643,Heavy jsy long leg,Leggings/Tights,1010020,Contrast,9,Black
189616008,189616,1643,Heavy jsy long leg,Leggings/Tights,1010020,Contrast,9,Black
189616014,189616,1643,Heavy jsy long leg,Leggings/Tights,1010020,Contrast,9,Black
189616028,189616,1643,Heavy jsy long leg,Leggings/Tights,1010018,Treatment,9,Black
189616038,189616,1643,Heavy jsy long leg,Leggings/Tights,1010016,Solid,8,Dark Grey
189626001,189626,1643,Jodi skirt,Skirt,1010016,Solid,9,Black
189634001,189634,1643,Long Leg Leggings,Leggings/Tights,1010016,Solid,9,Black
189654001,189654,1643,Raven skirt,Skirt,1010016,Solid,9,Black
190021021,190021,3611,Basic 5p Minishaftless,Socks,1010016,Solid,13,Beige
194037001,194037,3608,Fleece leggings 1 p,Leggings/Tights,1010016,Solid,9,Black
198714001,198714,2032,Babette cropped,Leggings/Tights,1010016,Solid,9,Black
200182001,200182,3608,40 den 2p Tights,Underwear Tights,1010016,Solid,9,Black
201219001,201219,3608,Heavy plain 2 p tights,Underwear Tights,1010016,Solid,9,Black
201219003,201219,3608,Heavy plain 2 p tights,Underwear Tights,1010010,Melange,7,Grey
205225001,205225,4242,PICKUP ARTIST top,Bikini top,1010016,Solid,9,Black
212629004,212629,1643,Alcazar strap dress,Dress,1010016,Solid,9,Black
212629035,212629,1643,Alcazar strap dress,Dress,1010016,Solid,42,Red
212629040,212629,1643,Alcazar strap dress,Dress,1010016,Solid,43,Dark Red
212629043,212629,1643,Alcazar strap dress,Dress,1010016,Solid,42,Red
212629048,212629,1643,Alcazar strap dress,Dress,1010016,Solid,53,Dark Pink
212629051,212629,1643,Alcazar strap dress,Dress,1010017,Stripe,10,White
212766045,212766,5683,Dean Drawstring Trousers.,Trousers,1010016,Solid,8,Dark Grey
214844001,214844,4343,30p pins,Hair clip,1010016,Solid,9,Black
214844002,214844,4343,30p pins,Hair clip,1010016,Solid,15,Greyish Beige
214844003,214844,4343,30p pins,Hair clip,1010016,Solid,5,Gold
215303001,215303,8888,Coolio sunglasses,Sunglasses,1010016,Solid,17,Yellowish Brown
215303002,215303,8888,Coolio sunglasses,Sunglasses,1010016,Solid,9,Black
215589002,215589,3608,Mama 40 den 2p Tights,Underwear Tights,1010010,Melange,9,Black
216081011,216081,5963,Norling Knit,Cardigan,1010010,Melange,8,Dark Grey
217727002,217727,3610,Polly 3p minishaftless,Socks,1010016,Solid,13,Beige
217727003,217727,3610,Polly 3p minishaftless,Socks,1010016,Solid,9,Black
218829002,218829,3519,Paris glove.,Gloves,1010016,Solid,9,Black
219075014,219075,5656,Billy cargo pants,Trousers,1010016,Solid,8,Dark Grey
219075021,219075,5656,Billy cargo pants,Trousers,1010016,Solid,9,Black
220094001,220094,1676,Aguilera maxidress,Dress,1010016,Solid,9,Black
220094010,220094,1676,Aguilera maxidress,Dress,1010016,Solid,19,Greenish Khaki
220094011,220094,1676,Aguilera maxidress,Dress,1010017,Stripe,73,Dark Blue
220094015,220094,1676,Aguilera maxidress,Dress,1010001,All over pattern,12,Light Beige
224606019,224606,3509,Flora hip belt (1),Belt,1010016,Solid,9,Black
224606031,224606,3509,Flora hip belt (1),Belt,1010009,Glittering/Metallic,5,Gold
225784001,225784,7930,HARLEY 2-pack basic tee,T-shirt,1010016,Solid,9,Black
228257001,228257,3608,20 den 2p Tights,Underwear Tights,1010016,Solid,9,Black
228257005,228257,3608,20 den 2p Tights,Underwear Tights,1010016,Solid,8,Dark Grey
234421001,234421,3608,Mama 200 den Tights,Underwear Tights,1010016,Solid,9,Black
234432002,234432,3608,Push Up 30 den 1p Tights,Underwear Tights,1010016,Solid,13,Beige
237347004,237347,1676,Theron,Hoodie,1010016,Solid,9,Black
237347040,237347,1676,Theron,Hoodie,1010010,Melange,71,Light Blue
237347045,237347,1676,Theron (1),Hoodie,1010016,Solid,10,White
237347052,237347,1676,Theron,Hoodie,1010016,Solid,31,Light Orange
237347053,237347,1676,Theron,Hoodie,1010016,Solid,19,Greenish Khaki
240561001,240561,3608,Support 70 den 1p Tights,Underwear Tights,1010016,Solid,9,Black
241412038,241412,1649,AOP Leggings,Leggings/Tights,1010001,All over pattern,33,Dark Orange
243937001,243937,3611,Straight Edge 5p Socks,Socks,1010016,Solid,9,Black
243937024,243937,3611,Straight Edge 5p Socks,Socks,1010010,Melange,13,Beige
244267027,244267,1626,Silver lake,Sweater,1010026,Other structure,14,Dark Beige
244267032,244267,1626,Silver lake,Sweater,1010013,Other pattern,9,Black
251510001,251510,3608,Push up 70 den 1p Tights,Underwear Tights,1010016,Solid,9,Black
252298002,252298,5961,Didi denim,Trousers,1010016,Solid,9,Black
252298006,252298,5961,Danae jeans,Trousers,1010016,Solid,43,Dark Red
252298014,252298,1649,Danae jeans,Trousers,1010016,Solid,10,White
253176016,253176,4242,PICKUP ARTIST cheeky brief,Swimwear bottom,1010026,Other structure,9,Black
253448001,253448,1339,OP Push Melbourne^,Bra,1010016,Solid,9,Black
253448002,253448,1339,OP Push Melbourne^,Bra,1010016,Solid,10,White
253448003,253448,1339,OP Push Melbourne^,Bra,1010016,Solid,12,Light Beige
254940026,254940,1722,Elsa high waist,Trousers,1010018,Treatment,9,Black
256151015,256151,5961,Superstretch Fancy denim,Trousers,1010018,Treatment,8,Dark Grey
258650001,258650,3929,Berlin boot,Boots,1010016,Solid,9,Black
264984001,264984,1676,Billie,Top,1010016,Solid,9,Black
265630004,265630,3610,Invisible 3p minishaftless,Socks,1010016,Solid,9,Black
265630006,265630,3610,Invisible 3p minishaftless,Socks,1010016,Solid,12,Light Beige
266875001,266875,3610,Sportsneaker 3p socks,Socks,1010016,Solid,9,Black
266875006,266875,3610,Sportsneaker 3p socks,Socks,1010016,Solid,10,White
266875024,266875,3611,Sportsneaker 3p socks,Socks,1010016,Solid,52,Pink
270375001,270375,8888,Sandra squared,Sunglasses,1010016,Solid,9,Black
270375004,270375,8888,Sandra squared,Sunglasses,1010016,Solid,13,Beige
270375006,270375,8888,Sandra squared,Sunglasses,1010010,Melange,12,Light Beige
270381001,270381,8888,Clubba sunglasses,Sunglasses,1010016,Solid,17,Yellowish Brown
270381007,270381,8888,Clubba sunglasses,Sunglasses,1010016,Solid,52,Pink
278811002,278811,3710,Hilly Biker 2pk LT,Underwear bottom,1010016,Solid,9,Black
278811006,278811,3710,Hilly Biker 2pk HW LS,Underwear bottom,1010016,Solid,9,Black
278811007,278811,3710,Hilly Biker 2pk LT,Underwear bottom,1010016,Solid,12,Light Beige
282832015,282832,8558,Kevin softshell jacket (1),Jacket,1010001,All over pattern,9,Black
293433026,293433,7921,2-p basic cotton tights SG,Underwear Tights,1010016,Solid,73,Dark Blue
293510001,293510,7931,2-p basic cotton tights BG,Underwear Tights,1010016,Solid,10,White
293510009,293510,7931,2-p basic tights BG,Underwear Tights,1010010,Melange,7,Grey
294008002,294008,1919,HM+ Cora tee,Costumes,1010016,Solid,9,Black
294008050,294008,1919,Cora T-shirt,T-shirt,1010006,Dot,10,White
294008056,294008,1919,HM+ Cora tee,T-shirt,1010016,Solid,19,Greenish Khaki
294076007,294076,2031,Skinny Shaping,Trousers,1010016,Solid,9,Black
296476012,296476,7932,DIVA ROBE,Robe,1010001,All over pattern,10,White
297067002,297067,3608,Small dot 1p Tights,Leggings/Tights,1010016,Solid,9,Black
297078001,297078,3608,Heavy Chain 1p Tights,Underwear Tights,1010001,All over pattern,9,Black
297078002,297078,3608,Heavy Chain 1p Tights,Underwear Tights,1010010,Melange,9,Black
299768002,299768,9985,Peder knitted glove,Gloves,1010016,Solid,9,Black
300024006,300024,2031,Super skinny denim,Trousers,1010023,Denim,8,Dark Grey
300024013,300024,2031,Superskinny,Trousers,1010023,Denim,72,Blue
300024016,300024,2031,Superskinny,Trousers,1010023,Denim,73,Dark Blue
300024042,300024,2031,Superskinny,Trousers,1010023,Denim,73,Dark Blue
300908004,300908,5960,Freja Coat,Jacket,1010016,Solid,8,Dark Grey
301227002,301227,7188,10pk basic R socks,Socks,1010016,Solid,9,Black
301656013,301656,1773,Shirtdress Lou,Dress,1010023,Denim,72,Blue
301656017,301656,1773,Shirtdress Lou,Dress,1010023,Denim,92,Green
301656018,301656,1779,Lou Shirt Dress,Dress,1010016,Solid,72,Blue
301656026,301656,1773,Shirtdress Lou,Dress,1010023,Denim,72,Blue
304778011,304778,3611,Cosy 1p Lounge sock,Socks,1010001,All over pattern,10,White
304786006,304786,3610,Traditional 2p Heavy Socks,Socks,1010001,All over pattern,51,Light Pink
305304008,305304,1745,Boy Denim Shorts,Shorts,1010016,Solid,71,Light Blue
305304010,305304,1745,Boy Denim Shorts,Shorts,1010016,Solid,72,Blue
305775003,305775,7921,Lurex tights SG,Underwear Tights,1010016,Solid,42,Red
305931001,305931,3608,Fake 1p Leggings,Leggings/Tights,1010016,Solid,9,Black
307239004,307239,3710,Hilly Brief 2pk LT,Underwear bottom,1010016,Solid,12,Light Beige
307239005,307239,3710,Hilly Brief 2pk HW LS,Underwear bottom,1010016,Solid,9,Black
307656020,307656,1643,Maria Shorts,Shorts,1010010,Melange,52,Pink
309864002,309864,8956,Skinny Cheapo 89,Trousers,1010016,Solid,9,Black
309864013,309864,8956,Skinny Cheapo 89,Trousers,1010023,Denim,6,Light Grey
312543001,312543,5961,Biker Leggings (1),Leggings/Tights,1010018,Treatment,9,Black
312878001,312878,5960,Pablo coat,Coat,1010016,Solid,9,Black
315509024,315509,9985,Wolf Scarf,Scarf,1010010,Melange,17,Yellowish Brown
315795001,315795,9986,Braces Tweed 3-Clip,Other accessories,1010013,Other pattern,17,Yellowish Brown
316085001,316085,1643,Peggy polo,Polo shirt,1010016,Solid,9,Black
316085002,316085,1643,Peggy polo,Polo shirt,1010010,Melange,7,Grey
316441001,316441,1676,Lee (1),Top,1010016,Solid,9,Black
316441011,316441,1676,Lee (1),Top,1010010,Melange,8,Dark Grey
316441024,316441,1676,Lee (1),Top,1010017,Stripe,9,Black
316441025,316441,1676,Lee (1),Top,1010010,Melange,43,Dark Red
316441036,316441,1676,Lee (1),Top,1010017,Stripe,11,Off White
316441038,316441,1676,Lee (1),Top,1010010,Melange,72,Blue
318035018,318035,3419,Classic Clear umbrella,Umbrella,1010006,Dot,10,White
318066004,318066,3945,KIMBERLY Braided Headband,Hat/beanie,1010016,Solid,9,Black
318066014,318066,3945,KIMBERLY Braided Headband,Hat/beanie,1010010,Melange,11,Off White
318951024,318951,6515,Basic LS t-shirt,T-shirt,1010017,Stripe,81,Light Turquoise
322017003,322017,3419,Mini Umbrella,Umbrella,1010016,Solid,9,Black
322322012,322322,9985,Beanie Pelle wool mix,Hat/beanie,1010016,Solid,73,Dark Blue
324502001,324502,3519,Hawlin Headband,Hat/beanie,1010016,Solid,9,Black
324946001,324946,3608,Control Top 200 den 1p Tights,Underwear Tights,1010016,Solid,9,Black
324963007,324963,3419,Classic PU sunglasscase,Other accessories,1010001,All over pattern,12,Light Beige
324963030,324963,3419,Classic PU sunglasscase,Other accessories,1010016,Solid,51,Light Pink
325087002,325087,1334,Kelly (Melbourne) PUSH 2p,Bra,1010016,Solid,10,White
325087043,325087,1334,Kelly (Melbourne) PUSH 2p,Bra,1010016,Solid,51,Light Pink
325542015,325542,3709,Nina Nightshirt (W),Robe,1010004,Check,10,White
327310002,327310,1444,Alicia wrap skirt,Skirt,1010016,Solid,9,Black
327821034,327821,7920,MALAGA 2-P,Leggings/Tights,1010016,Solid,50,Other Pink
333323030,333323,6541,Basic rolltops 3PACK,Socks,1010016,Solid,6,Light Grey
337777004,337777,8757,Easy iron L/S shirt  TP,Shirt,1010016,Solid,9,Black
337991002,337991,7389,Sigge Dressed Belt,Belt,1010016,Solid,33,Dark Orange
338400001,338400,3710,Hilly Thong 2pk,Underwear bottom,1010016,Solid,9,Black
341242001,341242,8615,Dave waistcoat,Tailored Waistcoat,1010016,Solid,9,Black
341242009,341242,8615,Dave waistcoat,Tailored Waistcoat,1010010,Melange,8,Dark Grey
341242019,341242,8615,Dave waistcoat,Tailored Waistcoat,1010016,Solid,8,Dark Grey
341452001,341452,1338,Venice molly padded softbra,Bra,1010016,Solid,9,Black
341782018,341782,5828,RILEY T-SHIRT,T-shirt,1010018,Treatment,9,Black
341782022,341782,5828,RILEY T-SHIRT,T-shirt,1010018,Treatment,73,Dark Blue
341782032,341782,5828,RILEY T-SHIRT,T-shirt,1010018,Treatment,53,Dark Pink
341782043,341782,5828,RILEY T-SHIRT,T-shirt,1010018,Treatment,73,Dark Blue
342060001,342060,3608,Heavy plain Overknee 1p Tights,Underwear Tights,1010016,Solid,9,Black
344956009,344956,3419,Flirty Romi waterbottle,Other accessories,1010006,Dot,51,Light Pink
345922004,345922,9985,Erling Necktube,Scarf,1010016,Solid,9,Black
347200001,347200,7389,Bo Dressed Belt,Belt,1010016,Solid,9,Black
347975001,347975,6515,2PACK SS Body TVP,Bodysuit,1010016,Solid,10,White
348330027,348330,6515,Tanktop body Mixed 2p,Bodysuit,1010001,All over pattern,7,Grey
349080001,349080,3608,Block 1p Overknee,Underwear Tights,1010005,Colour blocking,9,Black
349301001,349301,3527,GLASSIG ESPADRILLE,Ballerinas,1010016,Solid,9,Black
349301030,349301,3527,GLASSIG ESPADRILLE,Ballerinas,1010001,All over pattern,22,Yellow
350911002,350911,9986,Bowtie Kalle,Tie,1010016,Solid,73,Dark Blue
351462009,351462,4242,LAZER RAZER bandeau,Bikini top,1010016,Solid,42,Red
351484002,351484,4242,Lazer Razer Brief,Swimwear bottom,1010016,Solid,9,Black
351484026,351484,4242,Lazer Razer Brief,Swimwear bottom,1010017,Stripe,71,Light Blue
351484027,351484,4242,Lazer Razer Brief,Swimwear bottom,1010016,Solid,42,Red
351484033,351484,4242,Lazer Razer Brief,Swimwear bottom,1010026,Other structure,10,White
351484034,351484,4242,Lazer Razer Brief,Swimwear bottom,1010001,All over pattern,10,White
351484039,351484,4242,Lazer Razer Brief,Swimwear bottom,1010016,Solid,71,Light Blue
351484041,351484,4242,Lazer Razer Brief,Swimwear bottom,1010016,Solid,21,Light Yellow
351484042,351484,4242,Lazer Razer Brief,Swimwear bottom,1010016,Solid,42,Red
351933029,351933,1334,Kelly Lace Padded Idro 2p,Bra,1010016,Solid,12,Light Beige
351933051,351933,1334,Kelly Lace Padded Idro 2p,Bra,1010016,Solid,12,Light Beige
351933052,351933,1334,Kelly Lace Padded Idro 2p,Bra,1010016,Solid,52,Pink
355072001,355072,1643,Anita Tank (1),Vest top,1010016,Solid,9,Black
355072002,355072,1643,Anita Tank (1),Vest top,1010016,Solid,10,White
355307053,355307,1676,Moa tanktop,Vest top,1010010,Melange,7,Grey
355569001,355569,1643,Nicky Long,Vest top,1010016,Solid,9,Black
355569002,355569,1643,Nicky Long,Vest top,1010016,Solid,10,White
355569005,355569,1643,Nicky Long,Vest top,1010010,Melange,53,Dark Pink
355569011,355569,1643,Nicky Long,Vest top,1010010,Melange,19,Greenish Khaki
355569043,355569,1643,Nicky Long,Vest top,1010017,Stripe,10,White
356289005,356289,1444,JESSY SKIRT,Skirt,1010016,Solid,9,Black
356289075,356289,1444,JESSY SKIRT,Skirt,1010016,Solid,9,Black
357751003,357751,4344,Basic Endless hoop,Earring,1010016,Solid,31,Light Orange
357792003,357792,8888,Alessa cat sunglasses,Sunglasses,1010019,Transparent,31,Light Orange
358483007,358483,5963,Stressan light knit jumper,Sweater,1010016,Solid,19,Greenish Khaki
359504016,359504,3709,Viola trs (W),Pyjama bottom,1010017,Stripe,72,Blue
365439058,365439,8560,Lawrence training sock,Socks,1010022,Jacquard,9,Black
368038011,368038,4343,Biq Square Claw,Hair clip,1010011,Metallic,31,Light Orange
369796004,369796,8888,John sunglasses,Sunglasses,1010016,Solid,31,Light Orange
369796007,369796,8888,John sunglasses,Sunglasses,1010016,Solid,93,Dark Green
369796027,369796,8888,Cool Metal John Round,Sunglasses,1010016,Solid,91,Light Green
